time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1726407139509409300,42.4584091796875,2.3255013614241955,0.8075246912585202,-0.20480407020159797,2.1975871615951648,-0.5402970133324019,-0.11848356725434164,-0.9685665263145412
1726407139519406000,42.46840600585937,2.326909463731804,0.807525432017039,-0.20585571116700788,2.196241462544274,-0.5400703542635529,-0.11768640295312097,-0.9680613675769333
1726407139529402400,42.47840234375,2.3276618342497626,0.807468497629503,-0.20671671977520745,2.1948521304529294,-0.5399518861638931,-0.11710972912297364,-0.9676785875458567
1726407139539398100,42.48839819335937,2.327745336992043,0.8073544650085596,-0.2073404966249381,2.193489146870523,-0.5399587387932323,-0.116761824453872,-0.9674777919105898
1726407139549394200,42.49839428710938,2.3274398573146122,0.8072263656237071,-0.20777200405274018,2.192294225730613,-0.5400200840331464,-0.11659596123027222,-0.967352416957878
1726407139559391200,42.50839111328125,2.3267988504402606,0.8070946253953827,-0.20804572608826696,2.1912614597873845,-0.5401093180611805,-0.11660743678142359,-0.9672346279831755
1726407139569387300,42.51838720703125,2.3266229628539508,0.8070724641251492,-0.20808230968423813,2.191088232428604,-0.540119672171547,-0.11664664433095354,-0.9671781189673015
1726407139579383000,42.52838305664063,2.326311545004515,0.807035431729965,-0.20802974450107392,2.190971463798253,-0.5401786937239704,-0.11672428313854027,-0.9672401730423608
1726407139589380400,42.53838037109375,2.3254636368251527,0.8069287727933488,-0.20788638057136508,2.190633018016946,-0.5403504371807077,-0.11692128982026259,-0.9674401721242004
1726407139599376100,42.548376220703126,2.3241676782130005,0.8067648676539079,-0.20762947821313046,2.1901709458659466,-0.5406290529903837,-0.11722096375710263,-0.9678069449302449
1726407139609372200,42.5583720703125,2.3223591966649555,0.806531733450006,-0.2072568760079419,2.189531705047897,-0.5410313022604859,-0.11762833635346213,-0.9683630916132343
1726407139619368200,42.5683681640625,2.320112871560168,0.8062318078306366,-0.2067657682746867,2.1887432732175296,-0.541561232690297,-0.11810870836069927,-0.9691521146880937
1726407139629365200,42.578365234375,2.3177333814885253,0.8058920342259329,-0.2061887517263779,2.187914411270455,-0.5421875458490143,-0.11856248555443732,-0.9701964432812373
1726407139639361000,42.588361083984374,2.3150881722759786,0.8055178462878976,-0.20558004110471653,2.1869530250612215,-0.542862170620477,-0.11907419890110063,-0.9712855912555426
1726407139649357000,42.59835717773438,2.3123093947858253,0.8051304143534807,-0.2050004628759009,2.1858688836220788,-0.5435345693459269,-0.11962375774542579,-0.9723050680916532
1726407139659353300,42.608353271484376,2.309605207400709,0.804746917892269,-0.20444421045206201,2.1847758369114683,-0.5441976883013954,-0.12014076177698185,-0.9733212446233659
1726407139669350100,42.61835009765625,2.307084073464338,0.8043953537124666,-0.20385929705077738,2.1838794750517287,-0.544826436656715,-0.12063882982707629,-0.9743287441137208
1726407139679346200,42.62834619140625,2.3044769056374173,0.8040546126993233,-0.20321867804678453,2.1830908498587323,-0.5454409751907786,-0.12121297805754624,-0.9752874857660064
1726407139689342200,42.63834228515625,2.3016975540090305,0.8037122727550605,-0.2026317743034029,2.1821785108239196,-0.5460157182318,-0.12187651215469274,-0.9760433993879946
1726407139699338200,42.64833813476562,2.299021725904576,0.8034148565020204,-0.20208620670934346,2.181390412894852,-0.5464936091419572,-0.12259877721354778,-0.9765507527312042
1726407139709335000,42.6583349609375,2.2969880430539122,0.8032334181212826,-0.2015407459766525,2.181161943329728,-0.5468110611917797,-0.12326803147466822,-0.9768645478105354
